epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,4837.98,0.9357,1.09448,1.15776,1.00847,0,0.78872,0.61605,0.72716,0.56956,0.80878,0.63555,0.74954,0.52067,0.86866,1.0191,1.03219,0.95863,0,0.000237091,0.000237091,0.000237091
40,4961.96,0.93785,1.10893,1.21156,1.00712,0,0.7558,0.63289,0.73102,0.56062,0.76912,0.64714,0.7494,0.51343,0.89301,1.017,1.03484,0.96661,0,0.000232073,0.000232073,0.000232073
41,5085.18,0.93854,1.09898,1.17393,1.0132,0,0.68848,0.71929,0.72379,0.56616,0.71415,0.73776,0.7529,0.51037,0.86916,1.01481,0.99815,0.95929,0,0.000226997,0.000226997,0.000226997
42,5208.98,0.91507,1.09405,1.12707,0.99899,0,0.78077,0.65068,0.73295,0.57577,0.80648,0.66921,0.75456,0.52206,0.85637,0.9965,0.99521,0.95248,0,0.00022187,0.00022187,0.00022187
43,5332.33,0.92224,1.08641,1.13427,1.0099,0,0.78418,0.66432,0.73296,0.57308,0.79154,0.68017,0.75772,0.51871,0.86157,0.99672,0.99826,0.94944,0,0.000216695,0.000216695,0.000216695
44,5455.48,0.92675,1.11686,1.14525,1.00916,0,0.65761,0.74338,0.7452,0.5839,0.77279,0.67655,0.76945,0.5294,0.85598,0.99603,0.96599,0.94544,0,0.000211478,0.000211478,0.000211478
45,5578.6,0.91587,1.07083,1.14792,1.00334,0,0.75744,0.67561,0.74584,0.58391,0.76484,0.69381,0.77025,0.53434,0.86393,0.99009,0.96282,0.95136,0,0.000206225,0.000206225,0.000206225
46,5701.67,0.91998,1.06867,1.12712,1.00232,0,0.70203,0.70103,0.7455,0.58455,0.70476,0.70872,0.75011,0.5277,0.86185,0.99231,0.96758,0.9499,0,0.00020094,0.00020094,0.00020094
47,5825.18,0.91408,1.07874,1.10204,0.99685,0,0.73902,0.70653,0.76169,0.60182,0.7849,0.68463,0.77101,0.54221,0.86956,1.01811,0.96281,0.95575,0,0.000195629,0.000195629,0.000195629
48,5948.26,0.90754,1.08161,1.09938,1.00361,0,0.78077,0.71575,0.78056,0.63151,0.80135,0.7375,0.79206,0.57252,0.86006,0.98819,0.9214,0.94551,0,0.000190296,0.000190296,0.000190296
49,6072.16,0.91298,1.09084,1.07492,0.9945,0,0.77255,0.69548,0.76936,0.60817,0.78902,0.71181,0.77914,0.54095,0.86655,0.9835,0.92557,0.95444,0,0.000184948,0.000184948,0.000184948
50,6195.34,0.90705,1.06978,1.08029,0.99179,0,0.80445,0.68951,0.78016,0.61828,0.8069,0.68758,0.78234,0.55214,0.85042,0.98654,0.90342,0.94787,0,0.000179589,0.000179589,0.000179589
51,6318.4,0.9042,1.09568,1.09106,1.00044,0,0.72435,0.74772,0.77073,0.60008,0.72505,0.75037,0.76929,0.54246,0.85084,0.97981,0.92173,0.94565,0,0.000174225,0.000174225,0.000174225
52,6442,0.90798,1.06982,1.06021,0.99262,0,0.77271,0.698,0.76698,0.59862,0.77881,0.69665,0.77216,0.54757,0.85478,0.97552,0.89209,0.94098,0,0.000168861,0.000168861,0.000168861
53,6565.52,0.90162,1.09784,1.04289,0.99499,0,0.7799,0.72861,0.77127,0.61391,0.77804,0.72658,0.77252,0.54905,0.83789,0.97699,0.86846,0.93097,0,0.000163502,0.000163502,0.000163502
54,6688.96,0.89699,1.0523,1.05387,0.98837,0,0.68732,0.76718,0.77557,0.61624,0.74425,0.73499,0.79881,0.56271,0.83668,0.9826,0.87994,0.93352,0,0.000158154,0.000158154,0.000158154
55,6812.99,0.88768,1.05839,1.04039,0.98067,0,0.80845,0.71535,0.77265,0.61793,0.812,0.71752,0.7901,0.55606,0.84185,0.9753,0.87319,0.92872,0,0.000152821,0.000152821,0.000152821
56,6936.08,0.8922,1.0562,1.0294,0.98658,0,0.7773,0.71187,0.77714,0.60407,0.80114,0.70826,0.78945,0.5481,0.84777,0.97349,0.86162,0.93665,0,0.00014751,0.00014751,0.00014751
57,7060.04,0.88203,1.03606,1.01816,0.97688,0,0.76301,0.7353,0.79542,0.63843,0.7871,0.73153,0.79457,0.57498,0.83279,0.9707,0.86315,0.93047,0,0.000142225,0.000142225,0.000142225
58,7182.97,0.86747,1.0449,1.01478,0.98088,0,0.82969,0.72069,0.79575,0.63378,0.83758,0.72028,0.80637,0.56565,0.83134,0.97296,0.84333,0.92956,0,0.000136972,0.000136972,0.000136972
59,7306.12,0.88278,1.06453,1.0054,0.97751,0,0.78426,0.75891,0.80125,0.62919,0.80172,0.76516,0.81263,0.57101,0.83463,0.9737,0.82983,0.93471,0,0.000131755,0.000131755,0.000131755
60,7428.99,0.88107,1.0358,0.98463,0.98057,0,0.79416,0.74975,0.8068,0.63911,0.81187,0.75227,0.80587,0.5733,0.8368,0.9704,0.83213,0.93037,0,0.00012658,0.00012658,0.00012658
61,7552.65,0.87749,1.05373,0.97061,0.98446,0,0.78841,0.75976,0.8023,0.62954,0.78866,0.75905,0.79978,0.56755,0.82665,0.95907,0.8235,0.92657,0,0.000121453,0.000121453,0.000121453
62,7675.88,0.86428,1.03424,0.94773,0.97104,0,0.81907,0.74029,0.79695,0.63406,0.81987,0.74237,0.8158,0.57718,0.82124,0.94803,0.81233,0.92481,0,0.000116377,0.000116377,0.000116377
63,7798.86,0.86686,1.02969,0.97965,0.98068,0,0.78865,0.74003,0.78747,0.62064,0.79471,0.74655,0.797,0.56296,0.83281,0.95971,0.82897,0.92598,0,0.000111359,0.000111359,0.000111359
64,7922.24,0.87006,1.02932,0.96323,0.97108,0,0.78266,0.74766,0.79018,0.61503,0.78376,0.74837,0.80773,0.55613,0.83226,0.96408,0.82146,0.92801,0,0.000106402,0.000106402,0.000106402
65,8045.51,0.871,1.03497,0.95314,0.97292,0,0.76472,0.77671,0.80453,0.6342,0.76727,0.77867,0.82345,0.5784,0.82558,0.96473,0.80967,0.92416,0,0.000101513,0.000101513,0.000101513
66,8168.85,0.87025,1.04005,0.94996,0.97925,0,0.79141,0.78374,0.82055,0.65246,0.79152,0.78322,0.81642,0.58455,0.8289,0.9558,0.80967,0.92353,0,9.66948e-05,9.66948e-05,9.66948e-05
67,8292.77,0.87013,1.03734,0.93347,0.97501,0,0.79238,0.75962,0.81822,0.65255,0.79358,0.76204,0.81699,0.58842,0.82581,0.94852,0.81548,0.92531,0,9.19535e-05,9.19535e-05,9.19535e-05
68,8416.01,0.87097,1.01275,0.94083,0.97545,0,0.77205,0.77126,0.82635,0.6587,0.77617,0.77078,0.82389,0.5992,0.80844,0.94486,0.80806,0.91623,0,8.72935e-05,8.72935e-05,8.72935e-05
69,8540.34,0.85989,1.02963,0.9143,0.9684,0,0.79652,0.76707,0.82537,0.65526,0.79611,0.76615,0.83268,0.59408,0.80745,0.94861,0.801,0.91732,0,8.27192e-05,8.27192e-05,8.27192e-05
70,8663.4,0.85086,0.99183,0.94693,0.96947,0,0.79105,0.77659,0.82703,0.66219,0.80412,0.76403,0.82619,0.60199,0.81463,0.94091,0.78799,0.92019,0,7.82352e-05,7.82352e-05,7.82352e-05
71,8786.22,0.85416,1.01229,0.91319,0.97448,0,0.77624,0.78073,0.81786,0.65144,0.78601,0.768,0.82215,0.59051,0.81463,0.94186,0.78178,0.91785,0,7.3846e-05,7.3846e-05,7.3846e-05
72,8908.89,0.8397,0.99891,0.91595,0.96193,0,0.79433,0.7652,0.82106,0.65233,0.79508,0.76588,0.82602,0.59363,0.80674,0.93981,0.78597,0.91553,0,6.95558e-05,6.95558e-05,6.95558e-05
