epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,3777.7,0.80636,0.98889,0.70147,0.92258,0,0.85952,0.84094,0.89716,0.722,0.88798,0.81194,0.88671,0.62783,0.76269,1.1841,0.59752,0.88481,0,0.000194297,0.000194297,0.000194297
39,3876.87,0.80269,0.96798,0.68731,0.91924,0,0.84273,0.80126,0.8711,0.71156,0.84517,0.79808,0.8685,0.62395,0.75795,1.13134,0.60478,0.87742,0,0.000187624,0.000187624,0.000187624
40,3976.22,0.80838,0.98177,0.67786,0.92293,0,0.87655,0.78488,0.88431,0.70819,0.87671,0.78236,0.87694,0.60792,0.7699,1.33745,0.59023,0.87728,0,0.00018093,0.00018093,0.00018093
41,4075.43,0.79967,0.97757,0.66274,0.91843,0,0.81458,0.8537,0.88709,0.71476,0.87158,0.78708,0.88235,0.61098,0.7673,1.20388,0.59296,0.88394,0,0.000174225,0.000174225,0.000174225
42,4174.73,0.79045,0.96867,0.65836,0.91514,0,0.83601,0.85958,0.89065,0.71187,0.83982,0.84606,0.87909,0.62272,0.75099,1.25715,0.57786,0.87436,0,0.00016752,0.00016752,0.00016752
43,4273.95,0.78512,0.96452,0.65052,0.91915,0,0.84841,0.84403,0.90061,0.7357,0.84604,0.83764,0.8938,0.63946,0.74716,1.22979,0.57416,0.86685,0,0.000160826,0.000160826,0.000160826
44,4373.35,0.77872,0.95071,0.62706,0.91362,0,0.82525,0.83295,0.8873,0.72191,0.82696,0.80809,0.87057,0.62266,0.74148,1.17008,0.56612,0.86543,0,0.000154153,0.000154153,0.000154153
45,4472.58,0.78099,0.94013,0.62374,0.91256,0,0.87495,0.83262,0.89434,0.73108,0.86369,0.82295,0.87592,0.63145,0.75376,1.26724,0.57162,0.86841,0,0.00014751,0.00014751,0.00014751
46,4571.67,0.78525,0.9503,0.63813,0.90967,0,0.84768,0.84193,0.87877,0.72157,0.85104,0.82718,0.88064,0.62536,0.73985,1.20661,0.57,0.86763,0,0.000140908,0.000140908,0.000140908
47,4670.89,0.77761,0.9508,0.62638,0.9087,0,0.84982,0.85899,0.89864,0.73257,0.8471,0.85037,0.89073,0.63892,0.73737,1.20669,0.551,0.86513,0,0.000134358,0.000134358,0.000134358
48,4769.84,0.76374,0.92702,0.5944,0.90399,0,0.86734,0.85263,0.90269,0.73884,0.86277,0.84659,0.88901,0.64328,0.74334,1.12927,0.54933,0.86358,0,0.00012787,0.00012787,0.00012787
49,4869.13,0.77295,0.93896,0.59626,0.90413,0,0.85961,0.82954,0.90081,0.73729,0.85855,0.8271,0.89041,0.64307,0.73048,1.15202,0.54608,0.86059,0,0.000121453,0.000121453,0.000121453
50,4968.52,0.77541,0.94217,0.61663,0.90971,0,0.88853,0.83587,0.89184,0.73622,0.88866,0.82923,0.88154,0.63729,0.72788,1.22375,0.53203,0.86149,0,0.000115117,0.000115117,0.000115117
51,5067.57,0.76099,0.94166,0.59185,0.90553,0,0.88238,0.8519,0.90439,0.74499,0.8851,0.8396,0.89099,0.64121,0.73173,1.19749,0.53125,0.86097,0,0.000108872,0.000108872,0.000108872
52,5167,0.76021,0.93003,0.58158,0.90323,0,0.88206,0.85584,0.90876,0.74605,0.87701,0.85066,0.8955,0.6508,0.72967,1.22646,0.51773,0.85676,0,0.000102728,0.000102728,0.000102728
53,5266.45,0.75978,0.92884,0.58138,0.90022,0,0.87131,0.88208,0.90742,0.75109,0.85931,0.87111,0.89269,0.64411,0.72111,1.19715,0.52806,0.85545,0,9.66948e-05,9.66948e-05,9.66948e-05
54,5365.72,0.75523,0.92457,0.57249,0.90355,0,0.88481,0.88056,0.91913,0.75646,0.86936,0.86837,0.90331,0.65084,0.71749,1.1648,0.51684,0.8525,0,9.07807e-05,9.07807e-05,9.07807e-05
55,5465.02,0.74794,0.90652,0.56845,0.89585,0,0.87501,0.88286,0.90821,0.7487,0.86726,0.87331,0.89464,0.64224,0.72365,1.2859,0.51541,0.8556,0,8.49953e-05,8.49953e-05,8.49953e-05
56,5564.36,0.744,0.90054,0.56145,0.89428,0,0.86094,0.88025,0.91369,0.75309,0.88447,0.84383,0.9033,0.64335,0.72568,1.28137,0.51225,0.8553,0,7.93475e-05,7.93475e-05,7.93475e-05
57,5663.62,0.74442,0.91715,0.54928,0.89605,0,0.87282,0.85119,0.9049,0.75416,0.90926,0.81884,0.89306,0.64704,0.72146,1.25904,0.50868,0.85282,0,7.3846e-05,7.3846e-05,7.3846e-05
